Nazwa;ludnosc;udzial_terenow_ziel;pojazdy_paliwa_plynne;zuzycie_wody;odpady_niezneutralizowane;odpady_selektywnie_do_ogolu;wsk_ladunek_scieki;wsk_jakosc_powietrza;wydatki_ochrona_srod;scieki_oczyszczone_do_ogolu;sciezki_rowerowe;zanieczyszczenia_przem_niezneutralizowane;pomniki_przyrody;S02;NO2;PM10;S02_stos_kryt;NO2_stos_kryt;PM10_stos_kryt
Jelenia Gora;80072;1,6;49081;3465,5;7,4;13,8;10,57775958;0,067178726;27852383,8;100;43,5;95497;17;5,7;17,6;29,4;0,011377246;0,043890274;0,146268657
Legnica;100324;4,6;51511;4512,1;370,5;25,9;10,53314544;0,087480146;32345167,11;99,26;33,1;247337;55;7;33,8;33;0,013972056;0,084289277;0,164179104
Wroclaw;638586;6,6;403412;56655,7;309,8;29,5;11,40742156;0,082138506;387245400,1;100;249,9;1122965;110;4,7;35,2;30;0,009381238;0,087780549;0,149253731
Walbrzych;113621;2,5;32487;4754;55,1;1,9;;0,068467395;38728112,63;97,03;24,7;289557;57;6,5;22,5;27,4;0,012974052;0,056109726;0,136318408
Bydgoszcz;352313;7,8;204277;20921,4;99,4;28,4;7,382337651;0,103210237;131875865;96,31;85;754315;97;3,8;49,1;36,1;0,00758483;0,12244389;0,17960199
Grudziadz;95629;5,3;41751;5125,8;59,8;27,5;;0,110424689;25586161,55;100;54,1;159836;52;4;65,2;32,3;0,007984032;0,162593516;0,160696517
Torun;202562;3,4;107049;10150,1;19,6;19,4;11,74788174;0,068138942;59791236,66;99,45;110;251980;52;2,5;27,9;26,1;0,00499002;0,06957606;0,129850746
Wloclawek;111752;1,6;52657;15517,9;57,5;25,8;8,566740576;0,090499509;31192011,56;100;58,9;1688891;5;2,9;46,3;30,2;0,005788423;0,115461347;0,150248756
Biala Podlaska;57545;1,4;33110;2374,2;6,2;7;6,548307016;0,068068491;14694407,01;100;10,5;67123;13;5,3;15,2;31,3;0,010578842;0,037905237;0,155721393
Chelm;63333;4,5;34435;2666;14;30;10,18131089;0,075445023;18582316,27;100;15,9;1397927;11;3,9;23;32,4;0,007784431;0,057356608;0,16119403
Lublin;339850;5,4;179370;18858,4;86,6;26,2;5,708330764;0,07989511;111415338,8;99,98;145;783737;58;5,2;32,5;29,8;0,010379242;0,081047382;0,148258706
Zamosc;64354;6,7;30236;2574,6;13,9;23,5;12,88894658;0,071627453;20050553,94;100;38,9;83221;8;3,9;21,4;30,9;0,007784431;0,053366584;0,153731343
Gorzow Wielkopolski;124295;4,7;72364;6358,8;43,4;18,2;8,376317227;0,074856429;31461501,91;99,98;46,2;466467;53;4,1;34,9;26;0,008183633;0,087032419;0,129353234
Zielona Gora;139819;0,7;81871;7032;68,2;18,6;6,440190041;0,064461392;66378659,38;100;65,9;567919;61;8,7;23,9;23,4;0,017365269;0,059600998;0,11641791
Lodz;690422;5,8;364105;37792,6;312;27,8;5,367815335;0,09456469;238814785,4;100;155;1868833;278;7,3;35,1;36,5;0,014570858;0,087531172;0,18159204
Piotrkow Trybunalski;74312;1,4;37839;3123,9;26,7;26,2;9,238718116;0,096499506;25330848,65;100;23,7;115740;11;8,6;31,2;39,1;0,017165669;0,077805486;0,194527363
Skierniewice;48308;3,7;24957;2779,2;17,1;23,6;;;16999932,19;100;25,9;91188;84;;;38,2;;;0,190049751
Krakow;767348;5,3;473917;53886,7;622,2;36,2;5,700129623;0,141190712;539265015,9;99,98;220,5;4842205;311;7,2;79,7;42,3;0,014371257;0,198753117;0,210447761
Nowy Sacz;84041;1,9;46780;3420,4;23,7;4,6;9,218344003;0,115155253;31084415;100;20,6;57930;26;6,8;48,5;42,4;0,013572854;0,120947631;0,210945274
Tarnow;109650;1,9;45504;16380,6;116,6;34,5;8,620100494;0,100395883;40299470,29;99,63;67;1070552;42;7,3;48,1;33,5;0,014570858;0,119950125;0,166666667
Ostroleka;52215;4,1;25518;401993,9;420,1;17,3;8,807940033;0,061472888;14495661,05;100;18;2395756;8;3,1;19,6;26;0,006187625;0,048877805;0,129353234
Plock;120787;2,8;60888;30316,6;76,2;18,4;;0,067194158;58907193,66;100;45,5;6277215;10;4,6;18,1;29,6;0,009181637;0,045137157;0,147263682
Radom;214566;4,8;104314;9233,6;51,2;27,3;8,058992857;0,082210547;51313059,75;100;51,9;276311;28;3,7;30,9;32,6;0,00738523;0,077057357;0,162189055
Siedlce;77653;3,3;40502;4114,6;29,6;22,7;7,767403403;0,066082079;13752356,88;100;36,4;168564;45;3,8;18,4;29,1;0,00758483;0,045885287;0,144776119
Warszawa;1764615;6,2;1333097;264599;982,4;24,2;6,42764354;0,10394467;604062840,7;99,99;537,7;5385008;484;3,9;51,3;35,4;0,007784431;0,127930175;0,176119403
Opole;128140;2;90005;24444,8;440,2;36;7,487927352;0,076740939;66932418,93;100;75,2;6064673;29;5,1;23;32,7;0,010179641;0,057356608;0,162686567
Krosno;46600;2;24213;2480,1;12,9;26;11,9267598;0,071625472;12715629,47;100;17,6;105897;7;7,9;16,6;31,7;0,015768463;0,041396509;0,157711443
Przemysl;61808;2,6;45285;3148,2;20,5;7,2;6,666632301;0,065782347;17961564,43;100;38;121552;34;3,6;18;29,2;0,007185629;0,044887781;0,145273632
Rzeszow;189662;2,8;108383;10843;70,6;28,4;8,339593571;0,075902935;99268392,82;99,96;151;421088;50;6,2;25,7;30,4;0,01237525;0,064089776;0,151243781
Tarnobrzeg;47387;1,3;21785;4170,7;7,1;10,4;8,816491433;0,071361239;17017752,48;100;22,8;57289;35;7;18;31,2;0,013972056;0,044887781;0,155223881
Bialystok;297288;5;127648;14054,7;370;40,6;9,892914996;0,050782749;79576443,7;100;117,7;675833;17;4;13,8;22,1;0,007984032;0,034413965;0,109950249
Lomza;63092;3,2;27421;3688,4;16,8;12,9;10,34272495;0,063024552;16286787,55;100;32,4;88444;12;7,3;20,1;25;0,014570858;0,050124688;0,124378109
Suwalki;69554;1,6;33617;3943,7;114,7;10,1;7,886857143;0,04737882;23272169,16;100;62,8;138824;22;3;12,7;21;0,005988024;0,031670823;0,104477612
Gdansk;464254;3,2;285730;55855,9;223,7;27,6;12,33611755;0,055779792;238475490,1;100;174,5;2848515;160;4;24,4;19,8;0,007984032;0,06084788;0,098507463
Gdynia;246306;2,1;118382;12219,5;54,8;23,6;;0,049304602;135839359,8;99,74;59,2;627810;75;2,5;22,2;17,6;0,00499002;0,055361596;0,087562189
Slupsk;91465;2,8;47230;4312,3;21,8;15,1;9,893031156;0,047020412;20863133,79;100;41,4;136084;93;2,7;16,1;19,2;0,005389222;0,040149626;0,095522388
Sopot;36533;7,1;21638;2286,4;;33,6;;0,042973447;30732641,15;100;20,3;1484;38;1,6;16,9;16,8;0,003193613;0,042144638;0,08358209
Bielsko Biala;171505;1,7;113415;9458,4;127,6;88,4;6,64682616;0,091966576;58754623,26;99,98;33;218709;67;8,4;28,7;37,7;0,016766467;0,071571072;0,187562189
Bytom;168394;4,3;75448;7567,6;334;26;6,978695568;0,097856366;76523348,05;83,87;28,9;291088;1;12;34,5;36,9;0,023952096;0,086034913;0,18358209
